FID	IID	Pop_inferred
NA18632	NA18632	EAS
NA18633	NA18633	EAS
NA18634	NA18634	EAS
NA18635	NA18635	EAS
NA18636	NA18636	EAS
NA18637	NA18637	EAS
NA18638	NA18638	EAS
NA18639	NA18639	EAS
NA18640	NA18640	EAS
NA18641	NA18641	EAS
NA18642	NA18642	EAS
NA18643	NA18643	EAS
NA18644	NA18644	EAS
NA18645	NA18645	EAS
NA18646	NA18646	EAS
NA18647	NA18647	EAS
NA18648	NA18648	EAS
NA18740	NA18740	EAS
NA18745	NA18745	EAS
NA18747	NA18747	EAS
NA18748	NA18748	EAS
NA18749	NA18749	EAS
NA18757	NA18757	EAS
NA18791	NA18791	EAS
NA18794	NA18794	EAS
NA18795	NA18795	EAS
SH001	HG00403	EAS
SH001	HG00404	EAS
SH001	HG00405	EAS
SH002	HG00406	EAS
SH002	HG00407	EAS
SH002	HG00408	EAS
SH003	HG00409	EAS
SH003	HG00410	EAS
SH003	HG00411	EAS
SH006	HG00418	EAS
SH006	HG00419	EAS
SH006	HG00420	EAS
SH007	HG00421	EAS
SH007	HG00422	EAS
SH007	HG00423	EAS
SH009	HG00427	EAS
SH009	HG00428	EAS
SH009	HG00429	EAS
SH012	HG00436	EAS
SH012	HG00437	EAS
SH012	HG00438	EAS
SH014	HG00442	EAS
SH014	HG00443	EAS
SH014	HG00444	EAS
SH015	HG00445	EAS
SH015	HG00446	EAS
SH015	HG00447	EAS
SH016	HG00448	EAS
SH016	HG00449	EAS
SH016	HG00450	EAS
SH017	HG00451	EAS
SH017	HG00452	EAS
SH017	HG00453	EAS
SH019	HG00457	EAS
SH019	HG00458	EAS
SH019	HG00459	EAS
SH021	HG00463	EAS
SH021	HG00464	EAS
SH021	HG00465	EAS
SH024	HG00472	EAS
SH024	HG00473	EAS
SH024	HG00474	EAS
SH025	HG00475	EAS
SH025	HG00476	EAS
SH025	HG00477	EAS
SH026	HG00478	EAS
SH026	HG00479	EAS
SH026	HG00480	EAS
SH028	HG00500	EAS
SH028	HG00501	EAS
SH028	HG00502	EAS
SH032	HG00512	EAS
SH032	HG00513	EAS
SH032	HG00514	EAS
SH036	HG00524	EAS
SH036	HG00525	EAS
SH036	HG00526	EAS
SH038	HG00530	EAS
SH038	HG00531	EAS
SH038	HG00532	EAS
SH039	HG00533	EAS
SH039	HG00534	EAS
SH039	HG00535	EAS
SH040	HG00536	EAS
SH040	HG00537	EAS
SH040	HG00538	EAS
SH042	HG00542	EAS
SH042	HG00543	EAS
SH042	HG00544	EAS
SH045	HG00556	EAS
SH045	HG00557	EAS
SH045	HG00558	EAS
SH046	HG00559	EAS
SH046	HG00560	EAS
SH046	HG00561	EAS
SH048	HG00565	EAS
SH048	HG00566	EAS
SH048	HG00567	EAS
SH052	HG00577	EAS
SH052	HG00578	EAS
SH052	HG00579	EAS
SH053	HG00580	EAS
SH053	HG00581	EAS
SH053	HG00582	EAS
SH054	HG00583	EAS
SH054	HG00584	EAS
SH054	HG00585	EAS
SH056	HG00589	EAS
SH056	HG00590	EAS
SH056	HG00591	EAS
SH057	HG00592	EAS
SH057	HG00593	EAS
SH057	HG00594	EAS
SH058	HG00595	EAS
SH058	HG00596	EAS
SH058	HG00597	EAS
SH059	HG00598	EAS
SH059	HG00599	EAS
SH059	HG00600	EAS
SH062	HG00607	EAS
SH062	HG00608	EAS
SH062	HG00609	EAS
SH063	HG00610	EAS
SH063	HG00611	EAS
SH063	HG00612	EAS
SH064	HG00613	EAS
SH064	HG00614	EAS
SH064	HG00615	EAS
SH066	HG00619	EAS
SH066	HG00620	EAS
SH066	HG00621	EAS
SH067	HG00622	EAS
SH067	HG00623	EAS
SH067	HG00624	EAS
SH068	HG00625	EAS
SH068	HG00626	EAS
SH068	HG00627	EAS
SH069	HG00628	EAS
SH069	HG00629	EAS
SH069	HG00630	EAS
SH070	HG00631	EAS
SH070	HG00632	EAS
SH070	HG00633	EAS
SH071	HG00634	EAS
SH071	HG00635	EAS
SH071	HG00636	EAS
SH072	HG00650	EAS
SH072	HG00651	EAS
SH072	HG00652	EAS
SH073	HG00653	EAS
SH073	HG00654	EAS
SH073	HG00655	EAS
SH074	HG00658	EAS
SH076	HG00662	EAS
SH076	HG00663	EAS
SH076	HG00664	EAS
SH079	HG00671	EAS
SH079	HG00672	EAS
SH079	HG00673	EAS
SH080	HG00674	EAS
SH080	HG00675	EAS
SH080	HG00676	EAS
SH083	HG00683	EAS
SH083	HG00684	EAS
SH083	HG00685	EAS
SH085	HG00689	EAS
SH085	HG00690	EAS
SH085	HG00691	EAS
SH086	HG00692	EAS
SH086	HG00693	EAS
SH086	HG00694	EAS
SH088	HG00698	EAS
SH088	HG00699	EAS
SH088	HG00700	EAS
SH074	HG00656	EAS
SH074	HG00657	EAS
SH089	HG00701	EAS
SH089	HG00702	EAS
SH089	HG00703	EAS
SH090	HG00704	EAS
SH090	HG00705	EAS
SH090	HG00706	EAS
SH091	HG00707	EAS
SH091	HG00708	EAS
SH091	HG00709	EAS
SH094	HG00716	EAS
SH094	HG00717	EAS
SH094	HG00718	EAS
SH098	HG00728	EAS
SH098	HG00729	EAS
SH098	HG00730	EAS
CLM01	HG01119	AMR
CLM02	HG01121	AMR
CLM02	HG01122	AMR
CLM02	HG01123	AMR
CLM03	HG01112	AMR
CLM03	HG01113	AMR
CLM03	HG01114	AMR
CLM04	HG01124	AMR
CLM04	HG01125	AMR
CLM04	HG01126	AMR
CLM06	HG01130	AMR
CLM06	HG01131	AMR
CLM07	HG01133	AMR
CLM07	HG01134	AMR
CLM07	HG01135	AMR
CLM08	HG01136	AMR
CLM08	HG01137	AMR
CLM08	HG01138	AMR
CLM09	HG01139	AMR
CLM09	HG01140	AMR
CLM09	HG01141	AMR
CLM10	HG01142	AMR
CLM12	HG01148	AMR
CLM12	HG01149	AMR
CLM12	HG01150	AMR
CLM14	HG01250	AMR
CLM14	HG01251	AMR
CLM14	HG01252	AMR
CLM15	HG01253	AMR
CLM15	HG01254	AMR
CLM15	HG01255	AMR
CLM16	HG01256	AMR
CLM16	HG01257	AMR
CLM16	HG01258	AMR
CLM17	HG01259	AMR
CLM17	HG01260	AMR
CLM17	HG01261	AMR
CLM20	HG01269	AMR
CLM21	HG01271	AMR
CLM21	HG01272	AMR
CLM21	HG01273	AMR
CLM22	HG01274	AMR
CLM22	HG01275	AMR
CLM22	HG01276	AMR
CLM23	HG01277	AMR
CLM23	HG01278	AMR
CLM23	HG01279	AMR
CLM24	HG01280	AMR
CLM24	HG01281	AMR
CLM25	HG01284	AMR
CLM26	HG01341	AMR
CLM26	HG01342	AMR
CLM26	HG01343	AMR
CLM27	HG01344	AMR
CLM27	HG01345	AMR
CLM27	HG01346	AMR
CLM28	HG01347	AMR
CLM28	HG01348	AMR
CLM28	HG01349	AMR
CLM29	HG01350	AMR
CLM29	HG01351	AMR
CLM29	HG01352	AMR
CLM30	HG01353	AMR
CLM30	HG01354	AMR
CLM30	HG01355	AMR
CLM31	HG01356	AMR
CLM31	HG01357	AMR
CLM31	HG01358	AMR
CLM32	HG01359	AMR
CLM32	HG01360	AMR
CLM32	HG01361	AMR
CLM33	HG01362	AMR
CLM33	HG01363	AMR
CLM33	HG01364	AMR
CLM34	HG01365	AMR
CLM34	HG01366	AMR
CLM34	HG01367	AMR
CLM35	HG01369	AMR
CLM36	HG01372	AMR
CLM37	HG01374	AMR
CLM37	HG01375	AMR
CLM37	HG01376	AMR
CLM38	HG01377	AMR
CLM38	HG01378	AMR
CLM38	HG01379	AMR
CLM40	HG01383	AMR
CLM40	HG01384	AMR
CLM40	HG01385	AMR
CLM42	HG01389	AMR
CLM42	HG01390	AMR
CLM42	HG01391	AMR
CLM43	HG01431	AMR
CLM43	HG01432	AMR
CLM43	HG01433	AMR
CLM44	HG01435	AMR
CLM45	HG01437	AMR
CLM45	HG01438	AMR
CLM45	HG01439	AMR
CLM46	HG01441	AMR
CLM46	HG01442	AMR
CLM46a	HG01440	AMR
CLM47	HG01443	AMR
CLM47	HG01444	AMR
CLM47	HG01445	AMR
CLM48	HG01447	AMR
CLM50	HG01452	AMR
CLM50	HG01453	AMR
CLM50	HG01454	AMR
CLM51	HG01455	AMR
CLM51	HG01456	AMR
CLM51	HG01457	AMR
CLM52	HG01459	AMR
CLM53	HG01461	AMR
CLM53	HG01462	AMR
CLM53	HG01463	AMR
CLM54	HG01464	AMR
