FID	IID	Pop	#IID	PAT	MAT	SEX	SuperPop	Population
HG02355	HG02355	CDX	HG02355	0	0	1.0	EAS	CDX
HG02356	HG02356	CDX	HG02356	0	0	1.0	EAS	CDX
HG02358	HG02358	CDX						
HG02360	HG02360	CDX	HG02360	0	0	1.0	EAS	CDX
HG02363	HG02363	CDX						
HG02364	HG02364	CDX	HG02364	0	0	1.0	EAS	CDX
HG02367	HG02367	CDX	HG02367	0	0	1.0	EAS	CDX
HG02373	HG02373	CDX	HG02373	0	0	1.0	EAS	CDX
HG02374	HG02374	CDX	HG02374	0	0	1.0	EAS	CDX
HG02375	HG02375	CDX	HG02375	0	0	1.0	EAS	CDX
HG02377	HG02377	CDX						
HG02379	HG02379	CDX	HG02379	0	0	1.0	EAS	CDX
HG02380	HG02380	CDX	HG02380	0	0	1.0	EAS	CDX
HG02381	HG02381	CDX						
HG02382	HG02382	CDX	HG02382	0	0	1.0	EAS	CDX
HG02383	HG02383	CDX	HG02383	0	0	1.0	EAS	CDX
HG02384	HG02384	CDX	HG02384	0	0	1.0	EAS	CDX
HG02385	HG02385	CDX	HG02385	0	0	1.0	EAS	CDX
HG02386	HG02386	CDX	HG02386	0	0	1.0	EAS	CDX
HG02387	HG02387	CDX						
HG02388	HG02388	CDX						
HG02389	HG02389	CDX	HG02389	0	0	1.0	EAS	CDX
HG02390	HG02390	CDX	HG02390	0	0	1.0	EAS	CDX
HG02391	HG02391	CDX	HG02391	0	0	1.0	EAS	CDX
HG02392	HG02392	CDX	HG02392	0	0	1.0	EAS	CDX
HG02394	HG02394	CDX	HG02394	0	0	1.0	EAS	CDX
HG02395	HG02395	CDX	HG02395	0	0	1.0	EAS	CDX
HG02396	HG02396	CDX	HG02396	0	0	1.0	EAS	CDX
HG02397	HG02397	CDX	HG02397	0	0	1.0	EAS	CDX
HG02398	HG02398	CDX	HG02398	0	0	1.0	EAS	CDX
HG02399	HG02399	CDX	HG02399	0	0	1.0	EAS	CDX
HG02401	HG02401	CDX	HG02401	0	0	1.0	EAS	CDX
HG02402	HG02402	CDX	HG02402	0	0	1.0	EAS	CDX
HG02405	HG02405	CDX						
HG02406	HG02406	CDX	HG02406	0	0	1.0	EAS	CDX
HG02407	HG02407	CDX	HG02407	0	0	1.0	EAS	CDX
HG02408	HG02408	CDX	HG02408	0	0	1.0	EAS	CDX
HG02409	HG02409	CDX	HG02409	0	0	1.0	EAS	CDX
HG02410	HG02410	CDX	HG02410	0	0	1.0	EAS	CDX
1328	NA06984	CEU	NA06984	0	0	1.0	EUR	CEU
1328	NA06989	CEU	NA06989	0	0	2.0	EUR	CEU
1328	NA12329	CEU						
13281	NA12344	CEU						
13281	NA12347	CEU	NA12347	0	0	1.0	EUR	CEU
13281	NA12348	CEU	NA12348	0	0	2.0	EUR	CEU
13291	NA06986	CEU	NA06986	0	0	1.0	EUR	CEU
13291	NA06995	CEU						
13291	NA06997	CEU						
